iter	RMSE
0	0.9156690565
1	0.8410817067
2	0.7682937679
3	0.7045723773
4	0.6496212893
5	0.6021903102
6	0.5569547808
7	0.5185556821
8	0.4772739631
9	0.4397443305
10	0.4034834628
11	0.3733991439
12	0.3445965801
13	0.3181780127
14	0.2949900703
15	0.2745407356
16	0.2555736448
17	0.2393104059
18	0.2240143825
19	0.2093719314
20	0.1954316757
21	0.1814344102
22	0.1707382284
23	0.1599192571
24	0.1503346493
25	0.1416139853
26	0.1338354845
27	0.1273857883
28	0.1210924207
29	0.1153300499
30	0.1100191265
31	0.105280827
32	0.1010922988
33	0.09681586574
34	0.09348552353
35	0.09067189095
36	0.0877127799
37	0.08537968078
38	0.08258284909
39	0.08067466425
40	0.07899836949
41	0.07702178411
42	0.0749199131
43	0.07319579283
44	0.07163760352
45	0.07005505522
46	0.06895847174
47	0.06778734036
48	0.06684331442
49	0.06578043393
50	0.06504991465
51	0.06418971382
52	0.06343254996
53	0.06315685023
54	0.06269150708
55	0.06211248097
56	0.06134866826
57	0.06055099781
58	0.06038273028
59	0.06017337533
60	0.0597243657
61	0.05944703093
62	0.05851517541
63	0.05790389266
64	0.05737821203
65	0.05677507172
66	0.05644089634
67	0.05625875828
68	0.05558483831
69	0.0550861456
70	0.05456527014
71	0.05397285259
72	0.05331073901
73	0.05322311253
74	0.05296484968
75	0.05264424597
76	0.05215492849
77	0.05136092974
78	0.05120971103
79	0.05073468358
80	0.05059946426
81	0.05052234135
82	0.05013787362
83	0.04948979552
84	0.04882475647
85	0.04829867621
86	0.0479638204
87	0.04745966726
88	0.04737415486
89	0.0471768775
90	0.04710271238
91	0.04655229461
92	0.04617309753
93	0.0454265862
94	0.04473917355
95	0.04411535666
96	0.04396288274
97	0.04346599733
98	0.04293122652
99	0.04278968377
